,Time,Acc_x,Acc_y,Acc_z
619,1603920592434,-2048,-1568,-1411
620,1603920592484,-2048,-1631,2047
621,1603920592534,134,-1828,2047
622,1603920592584,55,-859,2047
623,1603920592634,9,-1164,2047
624,1603920592684,91,-1899,2047
625,1603920592734,-35,-1877,2047
626,1603920592784,142,-1177,1668
627,1603920592834,-339,-710,855
628,1603920592884,-930,-822,832
629,1603920592934,-1569,-893,882
630,1603920592984,-1421,-1029,680
631,1603920593034,-1098,-755,845
632,1603920593084,-1462,-244,1006
633,1603920593134,-2048,-1405,1135
634,1603920593184,-2048,-2048,802
635,1603920593234,-2048,371,-373
636,1603920593284,-2048,615,-2048
637,1603920593334,-2048,-791,-2048
638,1603920593384,-2048,460,-2048
639,1603920593434,-1845,-2048,-1946
640,1603920593484,-2048,-971,2047
641,1603920593534,-2048,1006,2047
642,1603920593584,-2048,2047,303
643,1603920593634,-228,478,2047
644,1603920593684,-411,2047,1029
645,1603920593734,-116,-691,1098
646,1603920593784,-449,-198,1081
647,1603920593834,-384,393,1253
648,1603920593884,5,58,1921
649,1603920593934,-175,491,1675
650,1603920593984,-277,-667,1638
651,1603920594034,-2048,-1269,2047
652,1603920594084,-2048,-2048,2047
653,1603920594134,-2048,-2048,1433
654,1603920594184,-2048,-2048,2047
655,1603920594234,-837,-1102,2047
656,1603920594284,232,-782,2047
657,1603920594334,-626,-1243,2047
658,1603920594384,258,-1587,2047
659,1603920594434,178,-2014,2047
660,1603920594484,190,-1768,2047
661,1603920594534,-110,-1156,1391
662,1603920594584,-763,-882,819
663,1603920594634,-1175,-1108,677
664,1603920594684,-1396,-889,634
665,1603920594734,-1296,-1138,677
666,1603920594784,-925,-793,868
667,1603920594834,-1664,-147,1072
668,1603920594884,-2048,-1611,1088
669,1603920594934,-2048,-1664,409
670,1603920594984,-2048,476,-694
671,1603920595034,-2048,211,-2048
672,1603920595084,-2048,-604,-2048
673,1603920595134,-2048,277,-2048
674,1603920595184,-2048,-2048,-1505
675,1603920595234,-2048,546,2047
676,1603920595284,-2048,-1473,2047
677,1603920595334,-2048,-175,2047
678,1603920595384,445,-1421,-1171
679,1603920595434,-742,785,896
680,1603920595484,-47,-936,1257
681,1603920595534,-563,-108,1072
682,1603920595584,-123,-82,1488
683,1603920595634,9,-75,2008
684,1603920595684,0,135,1919
685,1603920595734,-712,-777,1430
686,1603920595784,-2048,-1213,1990
687,1603920595834,-2048,-2048,1879
688,1603920595884,-2048,-2048,1026
689,1603920595934,-2048,-1763,2047
690,1603920595984,-893,-1943,2047
691,1603920596034,171,-1410,2047
692,1603920596084,390,-1148,2047
693,1603920596134,742,-1652,2047
694,1603920596184,-100,-1730,2047
695,1603920596234,35,-1783,2047
696,1603920596284,-231,-833,1541
697,1603920596334,-1254,-567,1087
698,1603920596384,-1450,-735,868
699,1603920596434,-1955,-998,850
700,1603920596484,-1870,-1205,782
701,1603920596534,-1649,-838,920
702,1603920596584,-1995,-177,1065
703,1603920596634,-2048,-1509,1024
704,1603920596684,-2048,-1180,777
705,1603920596734,-2048,1213,-1112
706,1603920596784,-2048,-476,-2048
707,1603920596834,-2048,63,-2048
708,1603920596884,-2048,-147,-2048
709,1603920596934,-2048,-1158,-1674
710,1603920596984,-2048,201,2047
711,1603920597034,-2048,-58,1414
712,1603920597084,-2048,963,-1418
713,1603920597134,-1100,-856,-1249
714,1603920597184,-378,242,914
715,1603920597234,-109,-981,1111
716,1603920597284,-396,57,1227
717,1603920597334,-38,-271,1625
718,1603920597384,287,87,1913
719,1603920597434,-239,260,1682
720,1603920597484,-736,-869,1765
721,1603920597534,-2048,-2048,1976
722,1603920597584,-2048,-2048,1664
723,1603920597634,1139,-1127,1333
724,1603920597684,-1444,-1218,2047
725,1603920597734,91,-1458,2047
726,1603920597784,125,-942,2047
727,1603920597834,-302,-1639,2047
728,1603920597884,492,-1850,2047
729,1603920597934,244,-1651,2047
730,1603920597984,-94,-1501,2047
731,1603920598034,-319,-1060,1388
732,1603920598084,-1288,-803,837
733,1603920598134,-1516,-931,554
734,1603920598184,-1784,-1184,640
735,1603920598234,-1315,-1220,592
736,1603920598284,-1402,-426,818
737,1603920598334,-2048,-596,922
738,1603920598384,-2048,-2005,772
739,1603920598434,-2048,-1208,172
740,1603920598484,-2048,982,-1517
741,1603920598534,-2048,-229,-2048
742,1603920598584,-2048,-523,-2048
743,1603920598634,-2048,-88,-2048
744,1603920598684,-2048,-2048,-2048
745,1603920598734,-2048,-2048,2047
746,1603920598784,1385,2047,1379
747,1603920598834,2047,-1647,-2048
748,1603920598884,-858,-732,1257
749,1603920598934,-465,912,845
750,1603920598984,-927,-367,861
751,1603920599034,-471,100,1243
752,1603920599084,29,13,1892
753,1603920599134,185,265,2047
754,1603920599184,-253,-310,1381
755,1603920599234,-1243,-977,1819
756,1603920599284,-2048,-2048,2047
757,1603920599334,-2048,-2048,1473
758,1603920599384,-2048,172,244
